volume,abs_rms,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,ec_linear_x,ec_linear_y,ec_linear_z,subject,session,scan_id,condition
18,0.7146959126,-0.04140396609,0.6839297335,0.1776062449,-8.778414485e-05,0.001637523761,-0.00158170308,0.02740929947,0.07143388985,0.08301466154,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
19,1.295489619,-0.01217098279,-1.27473817,0.2270436829,-0.0002940254926,0.001130362274,0.0004197940289,-0.07926141878,0.06276486961,-0.04843037147,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
20,0.4229146297,-0.01047581947,-0.304723738,0.2724247085,-0.001190655166,0.001383285504,-0.002055563265,0.1021062506,0.07068818196,-0.09941361007,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
21,1.361535448,-0.04444709269,1.306251297,0.373569184,0.0008429540903,0.0003902299213,0.0005319165066,0.0,0.0,0.0,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
22,0.212780503,-0.019702211,0.04175666363,0.2031916112,-0.0004345431807,0.001255205018,-0.0001332025131,-0.002432878942,0.05742059464,0.07784381714,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
23,1.477306845,-0.02953655305,-1.454518184,0.2337564499,-0.001701385365,0.001396443578,-0.002064162632,0.0181307817,0.02426641288,0.0499376237,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
24,1.658962547,-0.002811505981,-1.628929879,0.3110357418,-0.001496253419,0.0006000704598,-0.001447012066,0.03759134495,0.03755859092,-0.04884434443,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
25,0.3798895233,-0.04787135238,0.1948564255,0.2871286378,-0.0008865268901,0.001093127066,-0.003072581254,0.07874495689,0.08882605443,0.05866104846,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
26,0.8475781067,-0.03162533697,-0.7809658816,0.3263207554,-0.001153131016,0.001059917849,0.0007811249234,-0.01850649728,0.008304642612,-0.02659134026,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
27,0.4640835464,-0.0122188449,0.3563260714,0.2771206269,-0.001663894393,0.001038215822,-0.001932133106,0.08472426129,-0.001377864949,0.1172000583,sub-14230,ses-OXF3TRI001,sub-14230_ses-OXF3TRI001,non-denoised
